,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
3565,10.1021/acsami.6b12303,2017-02-14,ACS Applied Materials & Interfaces,1.07,18.3,0.77,15.0,100.0,1.6,MAPbI,nip,10.1021/acsami.6b12303,35,ACS Applied Materials & Interfaces,2017-02-14
3566,10.1007/s10854-018-0390-5,2018-11-28,Journal of Materials Science: Materials in Electronics,0.92,24.0,0.68,15.0,100.0,1.6,MAPbI,pin,10.1007/s10854-018-0390-5,9,Journal of Materials Science: Materials in Electronics,2018-11-28
3567,10.35848/1882-0786/ab6bde,2020-01-29,Applied Physics Express,1.04,20.5,0.7,15.0,100.0,1.61,MAPbI,pin,10.35848/1882-0786/ab6bde,6,Applied Physics Express,2020-01-29
3568,10.1039/c7tc02928d,2017-09-15,J. Mater. Chem. C,1.002,21.66,0.691,15.0,100.0,1.6,MAPbI,pin,10.1039/c7tc02928d,14,J. Mater. Chem. C,2017-09-15
3569,10.1039/c7ta90054f,2017-03-14,Journal of Materials Chemistry A,1.0,20.61,0.725,15.0,100.0,1.6,MAPbI,pin,10.1039/c7ta90054f,2,Journal of Materials Chemistry A,2017-03-14
3570,10.1016/j.solmat.2018.11.029,2018-12-11,Solar Energy Materials and Solar Cells,0.989,22.13,0.6829999999999999,15.0,100.0,1.6,MAPbI,pin,10.1016/j.solmat.2018.11.029,4,Solar Energy Materials and Solar Cells,2018-12-11
3571,10.1021/acsami.7b06403,2017-07-11,ACS Applied Materials & Interfaces,0.97,21.22,0.73,15.0,100.0,1.6,MAPbI,pin,10.1021/acsami.7b06403,81,ACS Applied Materials & Interfaces,2017-07-11
3572,10.1021/acsami.8b11411,2018-08-28,ACS Applied Materials & Interfaces,1.08,18.7,0.7440000000000001,15.0,100.0,1.53,MAPbI,nip,10.1021/acsami.8b11411,24,ACS Applied Materials & Interfaces,2018-08-28
3573,10.1002/adfm.201804856,2018-09-28,Advanced Functional Materials,1.01,21.85,0.682,15.0,100.0,1.58,MAPbI,nip,10.1002/adfm.201804856,34,Advanced Functional Materials,2018-09-28
3574,10.1021/acsenergylett.8b01165,2018-08-03,ACS Energy Letters,1.082,18.74,0.75,15.0,100.0,1.65,CsFAPbBrI,pin,10.1021/acsenergylett.8b01165,58,ACS Energy Letters,2018-08-03
3575,10.3390/polym11010147,2019-01-17,Polymers,1.04,19.28,0.747,15.0,100.0,1.6,MAPbI,pin,10.3390/polym11010147,20,Polymers,2019-01-17
3576,10.7567/JJAP.57.08RE06,2018-07-10,Japanese Journal of Applied Physics,1.09,20.0,0.69,15.0,100.0,1.6,MAPbI,pin,10.7567/JJAP.57.08RE06,3,Japanese Journal of Applied Physics,2018-07-10
3577,10.1039/c5mh00154d,2015-09-02,Materials Horizons,0.952,21.6,0.733,15.0,100.0,1.6,MAPbI,nip,10.1039/c5mh00154d,111,Materials Horizons,2015-09-02
3578,10.1016/j.solener.2018.04.009,2018-04-24,Solar Energy,0.94,22.5,0.71,15.0,100.0,1.6,MAPbI,nip,10.1016/j.solener.2018.04.009,7,Solar Energy,2018-04-24
3579,10.1021/acsami.7b14073,2017-11-28,ACS Applied Materials & Interfaces,0.91,21.0,0.75,15.0,100.0,1.6,MAPbI,pin,10.1021/acsami.7b14073,11,ACS Applied Materials & Interfaces,2017-11-28
3580,10.1021/acsami.8b08981,2018-08-17,ACS Applied Materials & Interfaces,1.02,22.74,0.65,15.0,100.0,1.6,MAPbI,nip,10.1021/acsami.8b08981,22,ACS Applied Materials & Interfaces,2018-08-17
3581,10.1021/jz500113x,2014-03-24,The Journal of Physical Chemistry Letters,1.05,22.9,0.66,15.0,100.0,1.55,MAPbI,nip,10.1021/jz500113x,1936,The Journal of Physical Chemistry Letters,2014-03-24
3582,10.1038/srep10557,2015-05-28,Scientific Reports,1.06,19.58,0.72,15.0,100.0,1.6,MAPbI,nip,10.1038/srep10557,43,Scientific Reports,2015-05-28
3583,10.1002/solr.201800147,2018-08-23,Solar RRL,,,,15.0,100.0,1.59,CsFAMAPbBrI,pin,10.1002/solr.201800147,21,Solar RRL,2018-08-23
3584,10.1038/nature12340,2013-07-09,Nature,0.993,20.0,0.73,15.0,96.4,1.6,MAPbI,nip,10.1038/nature12340,7356,Nature,2013-07-09
3585,10.1016/j.surfcoat.2018.12.069,2018-12-18,Surface and Coatings Technology,0.98,23.3,0.66,15.0,100.0,1.6,MAPbI,pin,10.1016/j.surfcoat.2018.12.069,7,Surface and Coatings Technology,2018-12-18
3586,10.1039/c9tc03881g,2019-08-26,Journal of Materials Chemistry C,0.95,24.2,0.65,15.0,100.0,1.6,MAPbI,pin,10.1039/c9tc03881g,6,Journal of Materials Chemistry C,2019-08-26
3587,10.1063/1.4967817,2016-11-09,AIP Advances,1.1,20.0,0.682,15.0,100.0,1.6,MAPbI,pin,10.1063/1.4967817,37,AIP Advances,2016-11-09
3588,10.1007/s10854-019-01234-y,2019-03-30,Journal of Materials Science: Materials in Electronics,1.0,21.3,0.7,15.0,100.0,1.6,MAPbI,nip,10.1007/s10854-019-01234-y,1,Journal of Materials Science: Materials in Electronics,2019-03-30
3589,10.1088/1742-6596/864/1/012008,2017-08-15,Journal of Physics: Conference Series,0.99,22.3,0.679,15.0,100.0,1.6,MAPbI,pin,10.1088/1742-6596/864/1/012008,1,Journal of Physics: Conference Series,2017-08-15
3590,10.1021/acsami.5b08421,2016-03-08,ACS Applied Materials & Interfaces,1.05,19.41,0.736,15.01,100.0,1.6,MAPbI,nip,10.1021/acsami.5b08421,39,ACS Applied Materials & Interfaces,2016-03-08
3591,10.1016/j.materresbull.2017.07.043,2017-07-29,Materials Research Bulletin,0.98,22.0,0.68,15.01,100.0,1.55,MAPbI,nip,10.1016/j.materresbull.2017.07.043,7,Materials Research Bulletin,2017-07-29
3592,10.1039/c5ta05988g,2015-09-21,Journal of Materials Chemistry A,1.04,21.09,0.69,15.01,100.0,1.6,MAPbI,nip,10.1039/c5ta05988g,73,Journal of Materials Chemistry A,2015-09-21
3593,10.1038/ncomms7142,2015-01-30,Nature Communications,1.03,20.58,0.71,15.01,100.0,1.6,MAPbI,nip,10.1038/ncomms7142,679,Nature Communications,2015-01-30
3594,10.1021/jacs.0c03363,2020-06-01,Journal of the American Chemical Society,1.07,19.55,0.755,15.01,100.0,,(ThMA)MAPbI,pin,10.1021/jacs.0c03363,69,Journal of the American Chemical Society,2020-06-01
3595,10.1007/s10854-018-9734-4,2018-08-01,Journal of Materials Science: Materials in Electronics,0.92,23.8,0.7,15.01,100.0,1.52,MAPbI,pin,10.1007/s10854-018-9734-4,3,Journal of Materials Science: Materials in Electronics,2018-08-01
3596,10.1021/acsami.5b06819,2015-10-07,ACS Applied Materials & Interfaces,0.99,20.78,0.73,15.02,100.0,1.6,MAPbI,pin,10.1021/acsami.5b06819,101,ACS Applied Materials & Interfaces,2015-10-07
3597,10.1016/j.orgel.2017.04.024,2017-04-23,Organic Electronics,0.93,22.15,0.78,15.02,100.0,1.6,MAPbI,nip,10.1016/j.orgel.2017.04.024,45,Organic Electronics,2017-04-23
3598,10.1039/c9ra10009a,2020-02-12,RSC Advances,1.1,18.54,0.738,15.02,100.0,,CsFAMAPbBrI,nip,10.1039/c9ra10009a,4,RSC Advances,2020-02-12
3599,10.1038/NENERGY.2015.16,2016-01-18,Nature Energy,0.995,20.4,0.736,15.02,100.0,1.6,MAPbI,nip,10.1038/NENERGY.2015.16,359,Nature Energy,2016-01-18
3600,10.1016/j.jpowsour.2018.11.089,2019-02-22,Journal of Power Sources,0.99,22.85,0.67,15.03,100.0,,FAMAPbBrI,nip,10.1016/j.jpowsour.2018.11.089,13,Journal of Power Sources,2019-02-22
3601,10.1002/ente.201700480,2017-08-28,Energy Technology,1.04,20.82,0.69,15.03,100.0,1.64,MAPbBrI,nip,10.1002/ente.201700480,2,Energy Technology,2017-08-28
3602,10.1088/1361-6463/ab140f,2019-03-27,Journal of Physics D: Applied Physics,0.98,19.92,0.77,15.03,100.0,1.6,MAPbI,pin,10.1088/1361-6463/ab140f,14,Journal of Physics D: Applied Physics,2019-03-27
3603,10.1002/cssc.201802231,2018-11-19,ChemSusChem,1.02,20.25,0.731,15.03,100.0,1.6,MAPbI,pin,10.1002/cssc.201802231,26,ChemSusChem,2018-11-19
3604,10.1039/c7se00220c,2017-06-20,Sustainable Energy & Fuels,1.03,20.81,0.7020000000000001,15.03,100.0,1.6,MAPbI,nip,10.1039/c7se00220c,53,Sustainable Energy & Fuels,2017-06-20
3605,10.1016/j.orgel.2018.03.041,2018-03-27,Organic Electronics,1.1,21.05,0.65,15.03,100.0,1.6,MAPbI,nip,10.1016/j.orgel.2018.03.041,16,Organic Electronics,2018-03-27
3606,10.1016/j.nanoen.2015.08.009,2015-08-29,Nano Energy,0.915,21.62,0.76,15.03,100.0,1.6,MAPbI,nip,10.1016/j.nanoen.2015.08.009,213,Nano Energy,2015-08-29
3607,10.1016/j.spmi.2020.106463,2020-02-25,Superlattices and Microstructures,1.06,22.19,0.63,15.04,100.0,,MAPbI,nip,10.1016/j.spmi.2020.106463,10,Superlattices and Microstructures,2020-02-25
3608,10.3390/en13112897,2020-06-09,Energies,0.91,22.59,0.7340000000000001,15.04,100.0,1.62,MAPbI,nip,10.3390/en13112897,1,Energies,2020-06-09
3609,10.1039/c9se00153k,2019-04-25,Sustainable Energy & Fuels,0.92,21.02,0.78,15.04,100.0,,FAMAPbI,pin,10.1039/c9se00153k,14,Sustainable Energy & Fuels,2019-04-25
3610,10.1021/acsaem.9b01859,2019-12-18,ACS Applied Energy Materials,1.21,15.43,0.805,15.04,100.0,,CsPbBrI,nip,10.1021/acsaem.9b01859,13,ACS Applied Energy Materials,2019-12-18
3611,10.1039/c7ta07732g,2017-10-24,Journal of Materials Chemistry A,0.99,20.05,0.77,15.04,100.0,1.6,MAPbI,pin,10.1039/c7ta07732g,30,Journal of Materials Chemistry A,2017-10-24
3612,10.1021/acsaem.8b01221,2018-10-08,ACS Applied Energy Materials,1.02,20.54,0.71,15.04,100.0,1.6,MAPbI,nip,10.1021/acsaem.8b01221,23,ACS Applied Energy Materials,2018-10-08
